Symbol: 10000000AIDOGEUSDT, Bid 1 Price: 0.003487, Bid 1 Size: 90800, Ask 1 Price: 0.003488, Ask 1 Size: 148200, Last Price: 0.003487, Previous Price 24h: 0.003656, Price Change % 24h: -0.046225, High Price 24h: 0.004446, Low Price 24h: 0.002762, Turnover 24h: 95965750.1041, Volume 24h: 26875704600.0000, USD Index Price: 
Symbol: 1000BONKUSDT, Bid 1 Price: 0.0423690, Bid 1 Size: 29400, Ask 1 Price: 0.0423870, Ask 1 Size: 740900, Last Price: 0.0432520, Previous Price 24h: 0.0451440, Price Change % 24h: -0.04191, High Price 24h: 0.0505110, Low Price 24h: 0.0373820, Turnover 24h: 71518940.2563, Volume 24h: 1659131800.0000, USD Index Price: 
Symbol: 1000BTTUSDT, Bid 1 Price: 0.0012068, Bid 1 Size: 687200, Ask 1 Price: 0.0012069, Ask 1 Size: 1878300, Last Price: 0.0012190, Previous Price 24h: 0.0013165, Price Change % 24h: -0.07406, High Price 24h: 0.0015279, Low Price 24h: 0.0010516, Turnover 24h: 102925494.5391, Volume 24h: 79806523800.0000, USD Index Price: 
Symbol: 1000CATSUSDT, Bid 1 Price: 0.03229, Bid 1 Size: 85190, Ask 1 Price: 0.03231, Ask 1 Size: 68390, Last Price: 0.03351, Previous Price 24h: 0.03719, Price Change % 24h: -0.098951, High Price 24h: 0.04257, Low Price 24h: 0.02614, Turnover 24h: 73094764.4025, Volume 24h: 2144711930.0000, USD Index Price: 
Symbol: 1000CATUSDT, Bid 1 Price: 0.04039, Bid 1 Size: 10720, Ask 1 Price: 0.04043, Ask 1 Size: 90668, Last Price: 0.04193, Previous Price 24h: 0.04613, Price Change % 24h: -0.091047, High Price 24h: 0.05581, Low Price 24h: 0.03498, Turnover 24h: 96350004.7150, Volume 24h: 2128559543.0000, USD Index Price: 
Symbol: 1000FLOKIUSDT, Bid 1 Price: 0.21822, Bid 1 Size: 125003, Ask 1 Price: 0.22695, Ask 1 Size: 1810, Last Price: 0.21822, Previous Price 24h: 0.22268, Price Change % 24h: -0.020028, High Price 24h: 0.25550, Low Price 24h: 0.19116, Turnover 24h: 76733443.7763, Volume 24h: 346550130.0000, USD Index Price: 
Symbol: 1000LUNCUSDT, Bid 1 Price: 0.10474, Bid 1 Size: 33326, Ask 1 Price: 0.10481, Ask 1 Size: 3751, Last Price: 0.10085, Previous Price 24h: 0.12496, Price Change % 24h: -0.192941, High Price 24h: 0.14697, Low Price 24h: 0.09237, Turnover 24h: 94850770.5304, Volume 24h: 818859851.0000, USD Index Price: 
Symbol: 1000MUMUUSDT, Bid 1 Price: 0.048708, Bid 1 Size: 47100, Ask 1 Price: 0.048774, Ask 1 Size: 6840, Last Price: 0.048708, Previous Price 24h: 0.052164, Price Change % 24h: -0.066252, High Price 24h: 0.060126, Low Price 24h: 0.035633, Turnover 24h: 93539974.0719, Volume 24h: 1992118750.0000, USD Index Price: 
Symbol: 1000NEIROCTOUSDT, Bid 1 Price: 1.60600, Bid 1 Size: 25538, Ask 1 Price: 1.63749, Ask 1 Size: 195, Last Price: 1.57451, Previous Price 24h: 1.90237, Price Change % 24h: -0.172342, High Price 24h: 2.07475, Low Price 24h: 1.51164, Turnover 24h: 76264598.2510, Volume 24h: 42571137.0000, USD Index Price: 
Symbol: 1000PEPEPERP, Bid 1 Price: 0.0196380, Bid 1 Size: 149700, Ask 1 Price: 0.0196381, Ask 1 Size: 22500, Last Price: 0.0196380, Previous Price 24h: 0.0203706, Price Change % 24h: -0.035963, High Price 24h: 0.0227803, Low Price 24h: 0.0145958, Turnover 24h: 94772615.8767, Volume 24h: 5110063200.0000, USD Index Price: 
Symbol: 1000PEPEUSDT, Bid 1 Price: 0.0188869, Bid 1 Size: 771900, Ask 1 Price: 0.0189278, Ask 1 Size: 9200, Last Price: 0.0189278, Previous Price 24h: 0.0193072, Price Change % 24h: -0.01965, High Price 24h: 0.0215390, Low Price 24h: 0.0158756, Turnover 24h: 107425144.8213, Volume 24h: 5740811900.0000, USD Index Price: 
Symbol: 1000RATSUSDT, Bid 1 Price: 0.09455, Bid 1 Size: 19400, Ask 1 Price: 0.09645, Ask 1 Size: 5340, Last Price: 0.09455, Previous Price 24h: 0.09632, Price Change % 24h: -0.018376, High Price 24h: 0.11821, Low Price 24h: 0.08480, Turnover 24h: 77307878.6838, Volume 24h: 765598720.0000, USD Index Price: 
Symbol: 1000TURBOUSDT, Bid 1 Price: 6.8112, Bid 1 Size: 377, Ask 1 Price: 6.8126, Ask 1 Size: 67, Last Price: 6.8112, Previous Price 24h: 7.3888, Price Change % 24h: -0.078172, High Price 24h: 8.5035, Low Price 24h: 5.4877, Turnover 24h: 95286397.9913, Volume 24h: 13706078.0000, USD Index Price: 
Symbol: 1000XECUSDT, Bid 1 Price: 0.03928, Bid 1 Size: 8030, Ask 1 Price: 0.03929, Ask 1 Size: 43450, Last Price: 0.03929, Previous Price 24h: 0.04611, Price Change % 24h: -0.147907, High Price 24h: 0.05437, Low Price 24h: 0.03579, Turnover 24h: 96977659.3330, Volume 24h: 2143275240.0000, USD Index Price: 
Symbol: 1000XUSDT, Bid 1 Price: 0.13666, Bid 1 Size: 389070, Ask 1 Price: 0.34638, Ask 1 Size: 129390, Last Price: 0.13666, Previous Price 24h: 0.13666, Price Change % 24h: 0, High Price 24h: 0.13666, Low Price 24h: 0.13666, Turnover 24h: 5.4664, Volume 24h: 40.0000, USD Index Price: 
Symbol: 1CATUSDT, Bid 1 Price: 0.001291, Bid 1 Size: 1313810, Ask 1 Price: 0.001292, Ask 1 Size: 287440, Last Price: 0.001247, Previous Price 24h: 0.001435, Price Change % 24h: -0.13101, High Price 24h: 0.001757, Low Price 24h: 0.001093, Turnover 24h: 83356774.7346, Volume 24h: 60743190260.0000, USD Index Price: 
Symbol: 1INCHUSDT, Bid 1 Price: 0.3697, Bid 1 Size: 1790.1, Ask 1 Price: 0.3698, Ask 1 Size: 6752.0, Last Price: 0.3698, Previous Price 24h: 0.4258, Price Change % 24h: -0.131517, High Price 24h: 0.4697, Low Price 24h: 0.3018, Turnover 24h: 96728821.5130, Volume 24h: 253037557.6000, USD Index Price: 
Symbol: A8USDT, Bid 1 Price: 0.08077, Bid 1 Size: 41667, Ask 1 Price: 0.08739, Ask 1 Size: 4332, Last Price: 0.08077, Previous Price 24h: 0.08142, Price Change % 24h: -0.007983, High Price 24h: 0.09429, Low Price 24h: 0.06377, Turnover 24h: 95169253.6462, Volume 24h: 1200059783.0000, USD Index Price: 
Symbol: AAVEUSDT, Bid 1 Price: 169.31, Bid 1 Size: 2.02, Ask 1 Price: 169.32, Ask 1 Size: 5.29, Last Price: 169.32, Previous Price 24h: 182.72, Price Change % 24h: -0.073336, High Price 24h: 215.94, Low Price 24h: 138.30, Turnover 24h: 95155068.8889, Volume 24h: 542484.8400, USD Index Price: 
Symbol: ACEUSDT, Bid 1 Price: 3.589, Bid 1 Size: 89207.2, Ask 1 Price: 4.339, Ask 1 Size: 9.2, Last Price: 3.589, Previous Price 24h: 3.589, Price Change % 24h: 0, High Price 24h: 3.589, Low Price 24h: 3.589, Turnover 24h: 0.0000, Volume 24h: 0.0000, USD Index Price: 
Symbol: ACHUSDT, Bid 1 Price: 0.024536, Bid 1 Size: 68970, Ask 1 Price: 0.024537, Ask 1 Size: 37300, Last Price: 0.024536, Previous Price 24h: 0.027655, Price Change % 24h: -0.112782, High Price 24h: 0.032727, Low Price 24h: 0.021542, Turnover 24h: 94529322.6663, Volume 24h: 3495503150.0000, USD Index Price: 
Symbol: ACTUSDT, Bid 1 Price: 0.6325, Bid 1 Size: 43692, Ask 1 Price: 1.0894, Ask 1 Size: 43975, Last Price: 0.7186, Previous Price 24h: 0.7186, Price Change % 24h: 0, High Price 24h: 0.7186, Low Price 24h: 0.7186, Turnover 24h: 0.0000, Volume 24h: 0.0000, USD Index Price: 
Symbol: ADAUSDT, Bid 1 Price: 0.9251, Bid 1 Size: 741, Ask 1 Price: 0.9444, Ask 1 Size: 60234, Last Price: 0.9444, Previous Price 24h: 1.0273, Price Change % 24h: -0.080696, High Price 24h: 1.1050, Low Price 24h: 0.8230, Turnover 24h: 80616228.1838, Volume 24h: 84898188.0000, USD Index Price: 
Symbol: AERGOUSDT, Bid 1 Price: 0.1424, Bid 1 Size: 23994, Ask 1 Price: 0.1425, Ask 1 Size: 5350, Last Price: 0.1424, Previous Price 24h: 0.1336, Price Change % 24h: 0.065868, High Price 24h: 0.1637, Low Price 24h: 0.1077, Turnover 24h: 92705478.5607, Volume 24h: 701131321.0000, USD Index Price: 
Symbol: AEROUSDT, Bid 1 Price: 1.3235, Bid 1 Size: 305, Ask 1 Price: 1.3238, Ask 1 Size: 251, Last Price: 1.2240, Previous Price 24h: 1.1431, Price Change % 24h: 0.070772, High Price 24h: 1.5342, Low Price 24h: 1.0341, Turnover 24h: 95557037.8465, Volume 24h: 74211565.0000, USD Index Price: 
Symbol: AEVOPERP, Bid 1 Price: 0.4278, Bid 1 Size: 9515.2, Ask 1 Price: 0.4279, Ask 1 Size: 887.2, Last Price: 0.4278, Previous Price 24h: 0.4617, Price Change % 24h: -0.073424, High Price 24h: 0.5386, Low Price 24h: 0.3279, Turnover 24h: 91939110.1046, Volume 24h: 213995609.7000, USD Index Price: 
Symbol: AEVOUSDT, Bid 1 Price: 0.4443, Bid 1 Size: 3762.3, Ask 1 Price: 0.4444, Ask 1 Size: 955.1, Last Price: 0.4443, Previous Price 24h: 0.4604, Price Change % 24h: -0.034969, High Price 24h: 0.5464, Low Price 24h: 0.3345, Turnover 24h: 96966651.0064, Volume 24h: 225954925.3000, USD Index Price: 
Symbol: AGIUSDT, Bid 1 Price: 0.20521, Bid 1 Size: 21230, Ask 1 Price: 0.20525, Ask 1 Size: 2340, Last Price: 0.19750, Previous Price 24h: 0.19279, Price Change % 24h: 0.02443, High Price 24h: 0.23740, Low Price 24h: 0.14978, Turnover 24h: 95091278.2359, Volume 24h: 491496000.0000, USD Index Price: 
Symbol: AGLDUSDT, Bid 1 Price: 1.3668, Bid 1 Size: 3062.2, Ask 1 Price: 1.3672, Ask 1 Size: 313.4, Last Price: 1.3187, Previous Price 24h: 1.3066, Price Change % 24h: 0.00926, High Price 24h: 1.5724, Low Price 24h: 1.0404, Turnover 24h: 94889025.1928, Volume 24h: 72927587.0000, USD Index Price: 
Symbol: AIOZUSDT, Bid 1 Price: 0.7924, Bid 1 Size: 5183, Ask 1 Price: 0.7925, Ask 1 Size: 458, Last Price: 0.7924, Previous Price 24h: 0.7933, Price Change % 24h: -0.001134, High Price 24h: 0.9141, Low Price 24h: 0.6173, Turnover 24h: 94906215.1281, Volume 24h: 126467081.0000, USD Index Price: 
Symbol: AIUSDT, Bid 1 Price: 0.2184, Bid 1 Size: 9.8, Ask 1 Price: 0.4363, Ask 1 Size: 297542.5, Last Price: 0.4363, Previous Price 24h: 0.4363, Price Change % 24h: 0, High Price 24h: 0.4363, Low Price 24h: 0.4363, Turnover 24h: 0.0000, Volume 24h: 0.0000, USD Index Price: 
Symbol: AKROUSDT, Bid 1 Price: 0.004226, Bid 1 Size: 713600, Ask 1 Price: 0.004230, Ask 1 Size: 106200, Last Price: 0.004226, Previous Price 24h: 0.004349, Price Change % 24h: -0.028282, High Price 24h: 0.005265, Low Price 24h: 0.003370, Turnover 24h: 95707293.8208, Volume 24h: 22288579100.0000, USD Index Price: 
Symbol: AKTUSDT, Bid 1 Price: 3.937, Bid 1 Size: 98.3, Ask 1 Price: 3.942, Ask 1 Size: 736.2, Last Price: 4.243, Previous Price 24h: 3.467, Price Change % 24h: 0.223824, High Price 24h: 4.728, Low Price 24h: 3.034, Turnover 24h: 96256324.9363, Volume 24h: 25138376.5000, USD Index Price: 
Symbol: ALEOUSDT, Bid 1 Price: 1.2111, Bid 1 Size: 390, Ask 1 Price: 1.2113, Ask 1 Size: 1856, Last Price: 1.2602, Previous Price 24h: 1.0939, Price Change % 24h: 0.152024, High Price 24h: 1.5110, Low Price 24h: 1.0297, Turnover 24h: 96233025.4279, Volume 24h: 76497174.0000, USD Index Price: 
Symbol: ALICEUSDT, Bid 1 Price: 1.404, Bid 1 Size: 296.7, Ask 1 Price: 1.411, Ask 1 Size: 628.6, Last Price: 1.448, Previous Price 24h: 1.398, Price Change % 24h: 0.035765, High Price 24h: 1.633, Low Price 24h: 1.093, Turnover 24h: 96768661.2636, Volume 24h: 70326465.6000, USD Index Price: 
Symbol: ALPACAUSDT, Bid 1 Price: 0.17099, Bid 1 Size: 1858, Ask 1 Price: 0.17100, Ask 1 Size: 7390, Last Price: 0.17100, Previous Price 24h: 0.19193, Price Change % 24h: -0.10905, High Price 24h: 0.22462, Low Price 24h: 0.14777, Turnover 24h: 94576310.8907, Volume 24h: 509597040.0000, USD Index Price: 
Symbol: ALPHAUSDT, Bid 1 Price: 0.08507, Bid 1 Size: 27220, Ask 1 Price: 0.08849, Ask 1 Size: 5512, Last Price: 0.08507, Previous Price 24h: 0.09521, Price Change % 24h: -0.106501, High Price 24h: 0.10889, Low Price 24h: 0.06840, Turnover 24h: 95623234.2425, Volume 24h: 1068282618.0000, USD Index Price: 
Symbol: ALTUSDT, Bid 1 Price: 0.10636, Bid 1 Size: 4450, Ask 1 Price: 0.10637, Ask 1 Size: 15980, Last Price: 0.11065, Previous Price 24h: 0.13274, Price Change % 24h: -0.166415, High Price 24h: 0.15405, Low Price 24h: 0.09934, Turnover 24h: 94363350.6036, Volume 24h: 729300174.0000, USD Index Price: 
Symbol: AMBUSDT, Bid 1 Price: 0.007059, Bid 1 Size: 157770, Ask 1 Price: 0.007064, Ask 1 Size: 65370, Last Price: 0.006541, Previous Price 24h: 0.007982, Price Change % 24h: -0.180531, High Price 24h: 0.009490, Low Price 24h: 0.006031, Turnover 24h: 94999443.3809, Volume 24h: 12263209960.0000, USD Index Price: 
Symbol: ANKRUSDT, Bid 1 Price: 0.03740, Bid 1 Size: 12548, Ask 1 Price: 0.03741, Ask 1 Size: 25062, Last Price: 0.03741, Previous Price 24h: 0.03669, Price Change % 24h: 0.019623, High Price 24h: 0.04779, Low Price 24h: 0.03091, Turnover 24h: 97138592.7480, Volume 24h: 2502121082.0000, USD Index Price: 
Symbol: APEUSDT, Bid 1 Price: 1.2368, Bid 1 Size: 619.4, Ask 1 Price: 1.2626, Ask 1 Size: 31123.9, Last Price: 1.2883, Previous Price 24h: 1.3706, Price Change % 24h: -0.060046, High Price 24h: 1.5612, Low Price 24h: 1.0953, Turnover 24h: 69418619.0804, Volume 24h: 53187944.8000, USD Index Price: 
Symbol: APEXUSDT, Bid 1 Price: 1.738, Bid 1 Size: 1175.2, Ask 1 Price: 1.740, Ask 1 Size: 272.6, Last Price: 1.679, Previous Price 24h: 1.961, Price Change % 24h: -0.143804, High Price 24h: 2.305, Low Price 24h: 1.454, Turnover 24h: 89952023.9098, Volume 24h: 48450975.1000, USD Index Price: 
Symbol: API3USDT, Bid 1 Price: 1.922, Bid 1 Size: 837.4, Ask 1 Price: 1.923, Ask 1 Size: 228.9, Last Price: 1.922, Previous Price 24h: 1.999, Price Change % 24h: -0.038519, High Price 24h: 2.450, Low Price 24h: 1.596, Turnover 24h: 94986371.2782, Volume 24h: 47949726.3000, USD Index Price: 
Symbol: APTUSDT, Bid 1 Price: 12.1445, Bid 1 Size: 361.49, Ask 1 Price: 12.1465, Ask 1 Size: 34.76, Last Price: 11.9130, Previous Price 24h: 13.3040, Price Change % 24h: -0.104555, High Price 24h: 13.3950, Low Price 24h: 10.3930, Turnover 24h: 75523114.0801, Volume 24h: 6402610.4600, USD Index Price: 
Symbol: ARBPERP, Bid 1 Price: 0.7258, Bid 1 Size: 609.8, Ask 1 Price: 0.7262, Ask 1 Size: 945.3, Last Price: 0.7546, Previous Price 24h: 0.9471, Price Change % 24h: -0.203252, High Price 24h: 1.0739, Low Price 24h: 0.6854, Turnover 24h: 95283171.6757, Volume 24h: 107614688.2000, USD Index Price: 
Symbol: ARKMUSDT, Bid 1 Price: 1.92470, Bid 1 Size: 156, Ask 1 Price: 1.92480, Ask 1 Size: 636, Last Price: 1.92480, Previous Price 24h: 2.12300, Price Change % 24h: -0.093358, High Price 24h: 2.47320, Low Price 24h: 1.63440, Turnover 24h: 96301111.2622, Volume 24h: 46954679.0000, USD Index Price: 
Symbol: ARKUSDT, Bid 1 Price: 0.69760, Bid 1 Size: 3165, Ask 1 Price: 0.69830, Ask 1 Size: 474, Last Price: 0.67270, Previous Price 24h: 0.69490, Price Change % 24h: -0.031947, High Price 24h: 0.87290, Low Price 24h: 0.54580, Turnover 24h: 95445012.9058, Volume 24h: 139642543.0000, USD Index Price: 
Symbol: ARPAUSDT, Bid 1 Price: 0.05435, Bid 1 Size: 62950, Ask 1 Price: 0.05491, Ask 1 Size: 18630, Last Price: 0.05435, Previous Price 24h: 0.05638, Price Change % 24h: -0.036005, High Price 24h: 0.06756, Low Price 24h: 0.04270, Turnover 24h: 96755969.1174, Volume 24h: 1730304940.0000, USD Index Price: 
Symbol: ARUSDT, Bid 1 Price: 19.360, Bid 1 Size: 143.6, Ask 1 Price: 19.365, Ask 1 Size: 17.1, Last Price: 18.614, Previous Price 24h: 21.410, Price Change % 24h: -0.130593, High Price 24h: 24.747, Low Price 24h: 15.490, Turnover 24h: 95928033.6285, Volume 24h: 4792685.8000, USD Index Price: 
Symbol: ASTRUSDT, Bid 1 Price: 0.072680, Bid 1 Size: 13423, Ask 1 Price: 0.072685, Ask 1 Size: 7040, Last Price: 0.070040, Previous Price 24h: 0.071255, Price Change % 24h: -0.017051, High Price 24h: 0.093490, Low Price 24h: 0.062145, Turnover 24h: 95833285.7943, Volume 24h: 1247656609.0000, USD Index Price: 
Symbol: ATAUSDT, Bid 1 Price: 0.10592, Bid 1 Size: 37010, Ask 1 Price: 0.10635, Ask 1 Size: 10890, Last Price: 0.10592, Previous Price 24h: 0.11217, Price Change % 24h: -0.055718, High Price 24h: 0.13243, Low Price 24h: 0.08454, Turnover 24h: 96287094.0859, Volume 24h: 874942840.0000, USD Index Price: 
Symbol: ATHUSDT, Bid 1 Price: 0.06035, Bid 1 Size: 9430, Ask 1 Price: 0.06036, Ask 1 Size: 5790, Last Price: 0.06035, Previous Price 24h: 0.06061, Price Change % 24h: -0.004289, High Price 24h: 0.06856, Low Price 24h: 0.04633, Turnover 24h: 94962025.9668, Volume 24h: 1637785000.0000, USD Index Price: 
Symbol: AUCTIONUSDT, Bid 1 Price: 13.809, Bid 1 Size: 21.7, Ask 1 Price: 13.810, Ask 1 Size: 27.9, Last Price: 13.810, Previous Price 24h: 15.056, Price Change % 24h: -0.082757, High Price 24h: 18.203, Low Price 24h: 11.744, Turnover 24h: 94022452.4795, Volume 24h: 6202038.7000, USD Index Price: 
Symbol: AUDIOUSDT, Bid 1 Price: 0.1476, Bid 1 Size: 2977.9, Ask 1 Price: 0.1482, Ask 1 Size: 21066.6, Last Price: 0.1500, Previous Price 24h: 0.1675, Price Change % 24h: -0.104477, High Price 24h: 0.2029, Low Price 24h: 0.1320, Turnover 24h: 96616355.8255, Volume 24h: 589337349.1000, USD Index Price: 
Symbol: AVAILUSDT, Bid 1 Price: 0.11526, Bid 1 Size: 26417, Ask 1 Price: 0.11527, Ask 1 Size: 3907, Last Price: 0.11526, Previous Price 24h: 0.13627, Price Change % 24h: -0.154179, High Price 24h: 0.15243, Low Price 24h: 0.09599, Turnover 24h: 94394295.3170, Volume 24h: 779894943.0000, USD Index Price: 
Symbol: AXLUSDT, Bid 1 Price: 0.7370, Bid 1 Size: 5390, Ask 1 Price: 0.7371, Ask 1 Size: 611, Last Price: 0.7370, Previous Price 24h: 0.7981, Price Change % 24h: -0.076556, High Price 24h: 0.9766, Low Price 24h: 0.6335, Turnover 24h: 96181242.7341, Volume 24h: 121506370.0000, USD Index Price: 
Symbol: AXSUSDT, Bid 1 Price: 7.434, Bid 1 Size: 559.5, Ask 1 Price: 7.435, Ask 1 Size: 61.1, Last Price: 7.434, Previous Price 24h: 8.084, Price Change % 24h: -0.080405, High Price 24h: 8.515, Low Price 24h: 6.433, Turnover 24h: 60670946.8982, Volume 24h: 8148025.3000, USD Index Price: 
Symbol: BADGERUSDT, Bid 1 Price: 6.7530, Bid 1 Size: 31300.0, Ask 1 Price: 6.1260, Ask 1 Size: 432.0, Last Price: 6.4320, Previous Price 24h: 3.5870, Price Change % 24h: 0.793141, High Price 24h: 6.4320, Low Price 24h: 2.9900, Turnover 24h: 61453776.4455, Volume 24h: 16010956.1000, USD Index Price: 
Symbol: BAKEUSDT, Bid 1 Price: 0.3033, Bid 1 Size: 1041.5, Ask 1 Price: 0.3034, Ask 1 Size: 5109.6, Last Price: 0.3044, Previous Price 24h: 0.2926, Price Change % 24h: 0.040328, High Price 24h: 0.3716, Low Price 24h: 0.2360, Turnover 24h: 96237265.6018, Volume 24h: 327841718.3000, USD Index Price: 
Symbol: BALUSDT, Bid 1 Price: 2.459, Bid 1 Size: 139.34, Ask 1 Price: 2.460, Ask 1 Size: 1031.61, Last Price: 2.460, Previous Price 24h: 2.794, Price Change % 24h: -0.119541, High Price 24h: 3.161, Low Price 24h: 2.008, Turnover 24h: 77932639.8384, Volume 24h: 30681652.7000, USD Index Price: 
Symbol: BANANAUSDT, Bid 1 Price: 62.916, Bid 1 Size: 27.13, Ask 1 Price: 62.917, Ask 1 Size: 7.04, Last Price: 62.916, Previous Price 24h: 67.645, Price Change % 24h: -0.069909, High Price 24h: 84.626, Low Price 24h: 51.313, Turnover 24h: 95424111.6553, Volume 24h: 1443870.7400, USD Index Price: 
Symbol: BANDUSDT, Bid 1 Price: 1.498, Bid 1 Size: 1092.1, Ask 1 Price: 1.503, Ask 1 Size: 341.9, Last Price: 1.447, Previous Price 24h: 1.441, Price Change % 24h: 0.004163, High Price 24h: 1.862, Low Price 24h: 1.217, Turnover 24h: 96613313.2521, Volume 24h: 63774041.0000, USD Index Price: 
Symbol: BANUSDT, Bid 1 Price: 0.1239, Bid 1 Size: 807, Ask 1 Price: 0.1243, Ask 1 Size: 806, Last Price: 0.1171, Previous Price 24h: 0.1279, Price Change % 24h: -0.08444, High Price 24h: 0.1319, Low Price 24h: 0.1158, Turnover 24h: 630.1104, Volume 24h: 5074.0000, USD Index Price: 
Symbol: BATUSDT, Bid 1 Price: 0.2724, Bid 1 Size: 1713.2, Ask 1 Price: 0.2727, Ask 1 Size: 4621.9, Last Price: 0.2826, Previous Price 24h: 0.2841, Price Change % 24h: -0.005279, High Price 24h: 0.3370, Low Price 24h: 0.2146, Turnover 24h: 98125694.8736, Volume 24h: 356909922.4000, USD Index Price: 
Symbol: BBUSDT, Bid 1 Price: 0.3588, Bid 1 Size: 5256, Ask 1 Price: 0.3592, Ask 1 Size: 918, Last Price: 0.3336, Previous Price 24h: 0.3183, Price Change % 24h: 0.048067, High Price 24h: 0.4311, Low Price 24h: 0.2660, Turnover 24h: 96333848.1354, Volume 24h: 286337129.0000, USD Index Price: 
Symbol: BCHUSDT, Bid 1 Price: 515.95, Bid 1 Size: 4.04, Ask 1 Price: 526.05, Ask 1 Size: 0.89, Last Price: 505.85, Previous Price 24h: 513.65, Price Change % 24h: -0.015185, High Price 24h: 564.70, Low Price 24h: 428.05, Turnover 24h: 79190601.2880, Volume 24h: 160038.6500, USD Index Price: 
Symbol: BEAMUSDT, Bid 1 Price: 0.023312, Bid 1 Size: 110500, Ask 1 Price: 0.023313, Ask 1 Size: 21100, Last Price: 0.023312, Previous Price 24h: 0.022553, Price Change % 24h: 0.033654, High Price 24h: 0.026814, Low Price 24h: 0.017200, Turnover 24h: 95818267.8082, Volume 24h: 4356776500.0000, USD Index Price: 
